"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"This story represents the Assessment module of the onelern_school project.","","ASSFT_02","0","4","1","0","0"
"This story represents the Publish module of the onelern_school project.","","TPUBFS_05","1","0","4","0","0"
"This story represents the Publish module of the onelern_school project.","","PUBFT-04","0","0","5","0","0"
"This story represents the Attendance module of the onelern_school project.","","ATTFS_01","0","0","5","0","0"
"This story represents the Doubts module of the onelern_school project.","","DOUFS_06","5","0","0","0","0"
"Login functionality of the onelern_school project.","","LOGFS_01","0","0","1","0","0"
"This story represents the Student Groups module of the onelern_school project.","","SGFT-04","0","1","4","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFT_01","0","0","5","0","0"
"This story represents the Attendance module of the onelern_school project.","","ATTFS_03","5","0","0","0","0"
"This story represents the Student Groups module of the onelern_school project.","","SGFT-05","0","0","5","0","0"
"This story represents the Student Groups module of the onelern_school project.","","SGFT-03","0","0","5","0","0"
"This story represents the Notebook module of the onelern_school project.","","NOTFS_01","0","0","5","0","0"
"This story represents the Doubts module of the onelern_school project.","","DOUFS_05","0","1","4","0","0"
"This story represents the Lesson Delivery module of the onelern_school project.","","LDFT_02","0","0","5","0","0"
"This story represents the Doubts module of the onelern_school project.","","DOUFS_04","0","1","4","0","0"
"This story represents the Student Groups module of the onelern_school project.","","SGFT-01","0","0","5","0","0"
"This story represents the Library module of the onelern_school project.","","NOTFT_03","0","0","5","0","0"
"This story represents the Doubts module of the onelern_school project.","","DOUFS_03","0","0","5","0","0"
"This story represents the Lesson Delivery module of the onelern_school project.","","LDFT_05","0","0","1","0","0"
"Login functionality of the onelern_school project.","","LOGFS_02","0","0","5","0","0"
"This story represents the Publish module of the onelern_school project.","","PUBFT-05","0","0","5","0","0"
"This story represents the Library module of the onelern_school project.","","NOTFS_03","0","0","5","0","0"
"This story represents the Publish module of the onelern_school project.","","TPUBFS_03","0","1","4","0","0"
"This story represents the Notebook module of the onelern_school project.","","NOTFT_04","0","0","5","0","0"
"This story represents the Student Groups module of the onelern_school project.","","SGFT-06","0","0","5","0","0"
"This story represents the Attendance module of the onelern_school project.","","ATTFT_03","0","0","5","0","0"
"This story represents the Publish module of the onelern_school project.","","TPUBFS_01","0","0","5","0","0"
"This story represents the Notebook module of the onelern_school project.","","NOTFS_02","0","0","5","0","0"
"This story represents the Notebook module of the onelern_school project.","","NOTFT-01","0","0","5","0","0"
"This story represents the Library module of the onelern_school project.","","LIBFT_05","0","0","5","0","0"
"This story represents the Doubts module of the onelern_school project.","","DOUFT-04","5","0","0","0","0"
"Login functionality of the onelern_school project.","","LOGFT_01","0","0","1","0","0"
